Episode,Reward
0,-450.6
1,-450.6
2,-450.6
3,-450.6
4,-450.6
5,-450.6
6,-450.6
7,-450.6
8,-450.6
9,-450.6
10,-450.6
11,-450.6
12,-450.6
13,-450.6
14,-450.6
15,-450.6
16,-450.6
17,-450.6
18,-450.6
19,-450.6
20,-450.6
21,-450.6
22,-450.6
23,-450.6
24,-450.6
25,-450.6
26,-450.6
27,-450.6
28,-450.6
29,-450.6
30,-450.6
31,-450.6
32,-450.6
33,-450.6
34,-450.6
35,-450.6
36,-450.6
37,-450.6
38,-450.6
39,-450.6
40,-450.6
41,-450.6
42,-450.6
43,-450.6
44,-450.6
45,-450.6
46,-450.6
47,-450.6
48,-450.6
49,-450.6
50,-450.6
51,-450.6
52,-450.6
53,-450.6
54,-450.6
55,-450.6
56,-450.6
57,-450.6
58,-428.59
59,-450.6
60,-450.6
61,-450.6
62,-450.6
63,-450.6
64,-450.6
65,-450.6
66,-450.6
67,-450.6
68,-450.6
69,-450.6
70,-450.6
71,-450.6
72,-450.6
73,-450.6
74,-450.6
75,-450.6
76,-450.6
77,-450.6
78,-450.6
79,-450.6
80,-450.6
81,-450.6
82,-450.6
83,-450.6
84,-450.6
85,-450.6
86,-450.6
87,-450.6
88,-450.6
89,-450.6
90,-450.6
91,-450.6
92,-450.6
93,-450.6
94,-450.6
95,-450.6
96,-450.6
97,-450.6
98,-450.6
99,-450.6
100,-450.6
101,-450.6
102,-450.6
103,-450.6
104,-450.6
105,-450.6
106,-450.6
107,-450.6
108,-450.6
109,-450.6
110,-450.6
111,-450.6
112,-390.59
113,-450.6
114,-450.6
115,-450.6
116,-450.6
117,-450.6
118,-450.6
119,-450.6
120,-450.6
121,-450.6
122,-450.6
123,-450.6
124,-450.6
125,-450.6
126,-450.6
127,-450.6
128,-450.6
129,-450.6
130,-450.6
131,-450.6
132,-450.6
133,-450.6
134,-450.6
135,-450.6
136,-450.6
137,-450.6
138,-450.6
139,-450.6
140,-450.6
141,-450.6
142,-450.6
143,-450.6
144,-450.6
145,-450.6
146,-450.6
147,-450.6
148,-450.6
149,-450.6
150,-450.6
151,-450.6
152,-450.6
153,-450.6
154,-450.6
155,-450.6
156,-450.6
157,-450.6
158,-450.6
159,-450.6
160,-450.6
161,-450.6
162,-450.6
163,-450.6
164,-450.6
165,-450.6
166,-450.6
167,-437.59
168,-450.6
169,-450.6
170,-450.6
171,-450.6
172,-450.6
173,-450.6
174,-450.6
175,-438.89
176,-450.6
177,-450.6
178,-450.6
179,-450.6
180,-450.6
181,-450.6
182,-450.6
183,-450.6
184,-450.6
185,-450.6
186,-413.64
187,-450.6
188,-450.6
189,-450.6
190,-450.6
191,-450.6
192,-450.6
193,-450.6
194,-450.6
195,-450.6
196,-450.6
197,-450.6
198,-450.6
199,-450.6
200,-450.6
201,-450.6
202,-450.6
203,-450.6
204,-450.6
205,-450.6
206,-450.6
207,-450.6
208,-450.6
209,-450.6
210,-450.6
211,-450.6
212,-450.6
213,-450.6
214,-450.6
215,-450.6
216,-450.6
217,-450.6
218,-450.6
219,-450.6
220,-450.6
221,-450.6
222,-450.6
223,-450.6
224,-450.6
225,-450.6
226,-450.6
227,-450.6
228,-450.6
229,-450.6
230,-450.6
231,-450.6
232,-450.6
233,-450.6
234,-450.6
235,-450.6
236,-450.6
237,-450.6
238,-450.6
239,-450.6
240,-450.6
241,-450.6
242,-450.6
243,-450.6
244,-450.6
245,-450.6
246,-450.6
247,-450.6
248,-450.6
249,-450.6
250,-450.6
